Week,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,0.14171,2,2.4,2.8,3.2,3.7,4.2,4.8
1,0.146,2.1,2.5,2.9,3.3,3.9,4.4,5.1
2,0.14339,2.3,2.7,3.1,3.6,4.1,4.7,5.4
3,0.1406,2.5,2.9,3.3,3.8,4.4,5,5.7
4,0.13805,2.7,3.1,3.6,4.1,4.7,5.4,6.1
5,0.13583,2.9,3.3,3.8,4.3,5,5.7,6.5
6,0.13392,3,3.5,4,4.6,5.2,6,6.8
7,0.13228,3.2,3.7,4.2,4.8,5.5,6.2,7.1
8,0.13087,3.3,3.8,4.4,5,5.7,6.5,7.3
9,0.12966,3.5,4,4.6,5.2,5.9,6.7,7.6
10,0.12861,3.6,4.1,4.7,5.4,6.1,6.9,7.8
11,0.1277,3.8,4.3,4.9,5.5,6.3,7.1,8.1
12,0.12691,3.9,4.4,5,5.7,6.5,7.3,8.3
13,0.12622,4,4.5,5.1,5.8,6.6,7.5,8.5
